t,T,ferrite,pearlite,bainite,martensite,austenite,Hv
15550.0,711.9135,1.0,0.0,0.0,0.0,0.0,145.97130075392
15600.0,711.492,1.0,0.0,0.0,0.0,0.0,145.97130075392
15650.0,711.0705,1.0,0.0,0.0,0.0,0.0,145.97130075392
15700.0,710.649,1.0,0.0,0.0,0.0,0.0,145.97130075392
15750.0,710.2275,1.0,0.0,0.0,0.0,0.0,145.97130075392
15800.0,709.806,1.0,0.0,0.0,0.0,0.0,145.97130075392
15850.0,709.3845,1.0,0.0,0.0,0.0,0.0,145.97130075392
15900.0,708.963,1.0,0.0,0.0,0.0,0.0,145.97130075392
15950.0,708.5415,1.0,0.0,0.0,0.0,0.0,145.97130075392
16000.0,708.12,1.0,0.0,0.0,0.0,0.0,145.97130075392
16050.0,707.6985,1.0,0.0,0.0,0.0,0.0,145.97130075392
16100.0,707.277,1.0,0.0,0.0,0.0,0.0,145.97130075392
16150.0,706.8555,1.0,0.0,0.0,0.0,0.0,145.97130075392
16200.0,706.434,1.0,0.0,0.0,0.0,0.0,145.97130075392
16250.0,706.0125,1.0,0.0,0.0,0.0,0.0,145.97130075392
16300.0,705.591,1.0,0.0,0.0,0.0,0.0,145.97130075392
16350.0,705.1695,1.0,0.0,0.0,0.0,0.0,145.97130075392
16400.0,704.748,1.0,0.0,0.0,0.0,0.0,145.97130075392
16450.0,704.3265,1.0,0.0,0.0,0.0,0.0,145.97130075392
16500.0,703.905,1.0,0.0,0.0,0.0,0.0,145.97130075392
16550.0,703.4835,1.0,0.0,0.0,0.0,0.0,145.97130075392
16600.0,703.062,1.0,0.0,0.0,0.0,0.0,145.97130075392
16650.0,702.6405,1.0,0.0,0.0,0.0,0.0,145.97130075392
16700.0,702.219,1.0,0.0,0.0,0.0,0.0,145.97130075392
16750.0,701.7975,1.0,0.0,0.0,0.0,0.0,145.97130075392
16800.0,701.376,1.0,0.0,0.0,0.0,0.0,145.97130075392
16850.0,700.9545,1.0,0.0,0.0,0.0,0.0,145.97130075392
16900.0,700.533,1.0,0.0,0.0,0.0,0.0,145.97130075392
16950.0,700.1115,1.0,0.0,0.0,0.0,0.0,145.97130075392
17000.0,699.69,1.0,0.0,0.0,0.0,0.0,145.97130075392
17050.0,699.2685,1.0,0.0,0.0,0.0,0.0,145.97130075392
17100.0,698.847,1.0,0.0,0.0,0.0,0.0,145.97130075392
17150.0,698.4255,1.0,0.0,0.0,0.0,0.0,145.97130075392
17200.0,698.004,1.0,0.0,0.0,0.0,0.0,145.97130075392
17250.0,697.5825,1.0,0.0,0.0,0.0,0.0,145.97130075392
17300.0,697.161,1.0,0.0,0.0,0.0,0.0,145.97130075392
17350.0,696.7395,1.0,0.0,0.0,0.0,0.0,145.97130075392
17400.0,696.318,1.0,0.0,0.0,0.0,0.0,145.97130075392
17450.0,695.8965,1.0,0.0,0.0,0.0,0.0,145.97130075392
17500.0,695.475,1.0,0.0,0.0,0.0,0.0,145.97130075392
17550.0,695.0535,1.0,0.0,0.0,0.0,0.0,145.97130075392
17600.0,694.632,1.0,0.0,0.0,0.0,0.0,145.97130075392
17650.0,694.2105,1.0,0.0,0.0,0.0,0.0,145.97130075392
17700.0,693.789,1.0,0.0,0.0,0.0,0.0,145.97130075392
17750.0,693.3675,1.0,0.0,0.0,0.0,0.0,145.97130075392
17800.0,692.946,1.0,0.0,0.0,0.0,0.0,145.97130075392
17850.0,692.5245,1.0,0.0,0.0,0.0,0.0,145.97130075392
17900.0,692.103,1.0,0.0,0.0,0.0,0.0,145.97130075392
17950.0,691.6815,1.0,0.0,0.0,0.0,0.0,145.97130075392
18000.0,691.26,1.0,0.0,0.0,0.0,0.0,145.97130075392
18050.0,690.8385,1.0,0.0,0.0,0.0,0.0,145.97130075392
18100.0,690.417,1.0,0.0,0.0,0.0,0.0,145.97130075392
18150.0,689.9955,1.0,0.0,0.0,0.0,0.0,145.97130075392
18200.0,689.574,1.0,0.0,0.0,0.0,0.0,145.97130075392
18250.0,689.1525,1.0,0.0,0.0,0.0,0.0,145.97130075392
18300.0,688.731,1.0,0.0,0.0,0.0,0.0,145.97130075392
18350.0,688.3095,1.0,0.0,0.0,0.0,0.0,145.97130075392
18400.0,687.888,1.0,0.0,0.0,0.0,0.0,145.97130075392
18450.0,687.4665,1.0,0.0,0.0,0.0,0.0,145.97130075392
18500.0,687.045,1.0,0.0,0.0,0.0,0.0,145.97130075392
18550.0,686.6235,1.0,0.0,0.0,0.0,0.0,145.97130075392
18600.0,686.202,1.0,0.0,0.0,0.0,0.0,145.97130075392
18650.0,685.7805,1.0,0.0,0.0,0.0,0.0,145.97130075392
18700.0,685.359,1.0,0.0,0.0,0.0,0.0,145.97130075392
18750.0,684.9375,1.0,0.0,0.0,0.0,0.0,145.97130075392
18800.0,684.516,1.0,0.0,0.0,0.0,0.0,145.97130075392
18850.0,684.0945,1.0,0.0,0.0,0.0,0.0,145.97130075392
18900.0,683.673,1.0,0.0,0.0,0.0,0.0,145.97130075392
18950.0,683.2515,1.0,0.0,0.0,0.0,0.0,145.97130075392
19000.0,682.83,1.0,0.0,0.0,0.0,0.0,145.97130075392
19050.0,682.4085,1.0,0.0,0.0,0.0,0.0,145.97130075392
19100.0,681.987,1.0,0.0,0.0,0.0,0.0,145.97130075392
19150.0,681.5655,1.0,0.0,0.0,0.0,0.0,145.97130075392
19200.0,681.144,1.0,0.0,0.0,0.0,0.0,145.97130075392
19250.0,680.7225,1.0,0.0,0.0,0.0,0.0,145.97130075392
